q_w,q_x,q_y,q_z
0.9318352318245388,-0.013813163498134247,-0.010995326930588398,0.3624519278888877
0.8643268540080472,-0.03073317147961389,-0.03216583225070244,0.5009590011637443
0.8009069401368486,-0.05499542234416149,-0.05967698012057011,0.5932640515027914
0.7114122329802562,-0.09286328613507887,-0.09968544699193697,0.6894431495868663
0.5887463725406328,-0.15527406885440875,-0.16109017308077153,0.7767352370650181
0.4497662761791823,-0.25696289609953005,-0.24977471890388764,0.8181032677092408
0.33285910867292234,-0.41132258935187027,-0.36220727674068476,0.7673489622971007
0.2463998346290184,-0.5851256842435304,-0.46611299228862446,0.6161604771105311
0.1910385027376752,-0.6984528590087051,-0.5191778607531857,0.4540068756286175
0.15787293271008412,-0.7494272107448644,-0.5374134707349303,0.3530180652393386
0.13814407111475432,-0.7734518139869008,-0.5436791134869995,0.2951296810119319
0.12544273252661792,-0.7866054526810586,-0.545984638921497,0.25964736996635446
0.11745672839494355,-0.7950074293177498,-0.5464092257809567,0.23580513621589108
0.11149045259395102,-0.8009214425933463,-0.5461369079552268,0.2186988786978413
0.107129080810511,-0.8054094307419253,-0.5454227172875913,0.20579861122778081
0.10360485689789457,-0.8089035022747946,-0.544560343038358,0.1959469071577405
0.10081937055731785,-0.8117883339937835,-0.5435583951908725,0.18809419536377722
0.0986866816642217,-0.8143411274846474,-0.5423427380438199,0.18158695283601844
0.09692235270102163,-0.8165863744701886,-0.5410660454418385,0.1761825333183237
0.09524559109382681,-0.818541710002308,-0.539862530388174,0.17165720097497483
0.09381737346758227,-0.8203422130032396,-0.5386203231235674,0.16770540098296058
0.0926449739734479,-0.8220528433696361,-0.5372866854709965,0.16422255971986988
0.09159152170581401,-0.8236622473786456,-0.5359316318676579,0.16114832099169266
0.09078250952005021,-0.8251768451796032,-0.5345400501404054,0.1584570760192555
0.09010412264902348,-0.826628510473716,-0.5331091620648295,0.15608066528622483
0.08941344366404777,-0.8280170984098264,-0.5317050495517913,0.15389171879680574
0.08872690217797705,-0.829333136904365,-0.5303297448810703,0.15193566584789928
0.08817584614452202,-0.8306372142184504,-0.5289029687803086,0.15009493038569147
0.0876350894570797,-0.8318398181424886,-0.5275461019743956,0.14851841077840075
0.08716281939312165,-0.8330428725208315,-0.5261443914352321,0.1470180084851272
0.08670025794773191,-0.8342200419444594,-0.5247450712131524,0.145611116084881
0.08630985743757548,-0.8353882998760302,-0.5233065918764173,0.14431634639925559
0.0859942153247783,-0.8365365463178853,-0.5218387863425947,0.1431638315836365
0.08563690598787994,-0.8376439989366812,-0.5204197350330186,0.14206389677307485
0.085240189049174,-0.838698792772938,-0.5190642051008235,0.1410347338605906
0.0849336297557953,-0.8397620355783149,-0.5176523382274104,0.14007875950894583
0.08464951663357213,-0.8408030326190461,-0.5162601219002388,0.13914095805286253
0.08440501860519072,-0.8418223371414096,-0.5148600942376085,0.13831134763884365
0.08419086532924795,-0.8428415759263453,-0.5134327942798135,0.13753814686525984
0.0839683538512668,-0.8438566275282302,-0.5119948463440086,0.13680857080375225
0.08377886786326083,-0.8448514244236303,-0.5105640712257169,0.13613045626286002
0.08356820615069577,-0.845840870587718,-0.5091438008712212,0.13543325514279164
0.08340761637891189,-0.8468153329698467,-0.507715646978642,0.13480275661207658
0.08325643046793406,-0.8477577367740787,-0.5063175299995062,0.13423019533856337
0.08311415850583954,-0.8487085279948307,-0.5049029550856847,0.13363710978039392
0.08295163269961417,-0.8496280958910937,-0.5035187785523277,0.1331163586871076
0.08284623272566283,-0.8506054625835073,-0.5020365961040303,0.1325371831545459
0.08271478663353034,-0.8515528212151736,-0.5005814572974016,0.13203886307696633
0.08259913122021881,-0.8524844798530432,-0.4991328852700354,0.13158251393464543
0.08252398247358239,-0.8534223022660333,-0.49766828107482897,0.13109709502375763
0.08245076317555408,-0.8543349956533446,-0.4962287753366359,0.13065446560171914
0.0823509713378009,-0.8552187140420122,-0.4948280251713294,0.13024781831988558
0.08225701984160924,-0.8561080936542073,-0.4934078717445171,0.12985140263810152
0.08216584337493646,-0.8569801705930551,-0.49200316970996905,0.12948607024744765
0.08205287475506236,-0.857823630082166,-0.49064173923087245,0.12913802360881152
0.08196473870233675,-0.8586960378617962,-0.48922503578870535,0.12877018493211226
0.08185765533419465,-0.8595455237898919,-0.48783769456169357,0.12843364263572188
0.08177385342683943,-0.8604038393471523,-0.4864269692341694,0.1280901000626753
0.08169743484055254,-0.8612390638284371,-0.4850408465796713,0.1277817718834213
0.0816219327383181,-0.8620680988912877,-0.48365600965136407,0.12748849868965526
0.08159055256940415,-0.8629019394387079,-0.48224803134998473,0.12720086832801136
0.08152921967281773,-0.8637309337649318,-0.4808477027248859,0.1269147240524125
0.08148653237375712,-0.8645491785139037,-0.4794535124232108,0.1266451436008547
0.08143634006416318,-0.8653701548558751,-0.4780484345629386,0.12638161184917887
0.08141003348400477,-0.8661771993279197,-0.47665539468808665,0.12613128290522824
0.08138778995103395,-0.866973583899302,-0.4752704651755961,0.12590002938625094
0.08138028979704938,-0.8677783632318419,-0.4738742695329179,0.12562299715361572
0.08134618739460256,-0.8686072799176148,-0.47243779665095026,0.12532645118282087
0.08131749951436783,-0.8694069635593238,-0.47104198394144625,0.12505376984239172
0.08132185974063356,-0.8702099830384894,-0.4696216452453034,0.12480725485952758
0.08133362372929379,-0.8710291768643202,-0.46816812883605213,0.12454564562551455
0.08131827875681967,-0.8718339970574253,-0.4667344000697204,0.12430534544604166
0.08129711051922982,-0.8726327499670083,-0.4653099145289737,0.124054612760993
